Line,ped.donor,N.blocks,N.mismatch.blocks,N.NA.blocks,N.donor.matches,best.matches
CML103/B73 NIL-1342B,CML103,3,0,0,1,CML103
CML103/B73 NIL-1343,CML103,1,0,0,1,CML103
CML103/B73 NIL-1345A,CML103,3,0,0,1,CML103
CML103/B73 NIL-1345B,CML103,4,0,2,1,CML103
CML228/B73 NIL-1004,CML228,1,0,0,1,CML228
CML228/B73 NIL-1006,CML228,1,0,0,1,CML228
CML228/B73 NIL-1010,CML228,1,0,0,1,CML228
CML228/B73 NIL-1026,CML228,2,0,0,1,CML228
CML228/B73 NIL-1044,CML228,2,0,1,1,CML228
CML228/B73 NIL-1055,CML228,2,1,1,1,CML247
CML228/B73 NIL-1063,CML228,2,0,0,1,CML228
CML228/B73 NIL-1067,CML228,3,1,1,2,CML228/B73
CML228/B73 NIL-1069,CML228,2,0,0,1,CML228
CML228/B73 NIL-1085,CML228,4,1,2,2,CML228/Ki3
CML228/B73 NIL-1086,CML228,1,0,0,1,CML228
CML228/B73 NIL-1100,CML228,1,0,0,1,CML228
CML228/B73 NIL-1101,CML228,2,0,1,1,CML228
CML228/B73 NIL-1103,CML228,1,0,0,1,CML228
CML228/B73 NIL-1104,CML228,2,0,0,1,CML228
CML228/B73 NIL-1113,CML228,2,0,0,1,CML228
CML228/B73 NIL-1117A,CML228,4,1,0,2,CML228/Ki3
CML228/B73 NIL-1117B,CML228,4,1,0,2,CML228/Ki3
CML228/B73 NIL-1118A,CML228,3,1,0,2,CML228/Ki3
CML228/B73 NIL-1118B,CML228,4,0,3,1,CML228
CML228/B73 NIL-1119,CML228,3,1,0,2,CML228/Ki11
CML228/B73 NIL-1121,CML228,2,2,0,1,CML247
CML228/B73 NIL-1134B,CML228,3,3,0,1,CML247
CML228/B73 NIL-1138,CML228,3,3,0,1,CML247
CML228/B73 NIL-1139,CML228,2,0,0,1,CML228
CML228/B73 NIL-1143,CML228,3,3,0,1,CML247
CML228/B73 NIL-1146,CML228,3,0,1,1,CML228
CML228/B73 NIL-1148,CML228,1,0,0,1,CML228
CML228/B73 NIL-1157,CML228,2,0,0,1,CML228
CML228/B73 NIL-1160A,CML228,3,3,0,2,CML247/B73
CML228/B73 NIL-1160B,CML228,2,2,0,1,CML247
CML228/B73 NIL-1178,CML228,2,0,1,1,CML228
CML228/B73 NIL-1188,CML228,4,1,1,2,CML228/CML247
CML228/B73 NIL-1189,CML228,2,0,1,1,CML228
CML228/B73 NIL-1201,CML228,1,0,0,1,CML228
CML228/B73 NIL-1207,CML228,1,0,0,1,CML228
CML228/B73 NIL-1217A,CML228,2,1,0,2,Ki11/CML228
CML228/B73 NIL-1217B,CML228,2,1,0,2,Ki11/CML228
CML228/B73 NIL-1229,CML228,2,0,0,1,CML228
CML228/B73 NIL-1230,CML228,2,0,0,1,CML228
CML228/B73 NIL-1232,CML228,1,0,0,1,CML228
CML247/B73 NIL-1005A,CML247,30,2,28,2,B73/Mo17
CML247/B73 NIL-1015,CML247,32,4,28,1,B73
CML247/B73 NIL-1020,CML247,2,0,0,1,CML247
CML247/B73 NIL-1032B,CML247,2,0,0,1,CML247
CML247/B73 NIL-1037,CML247,1,0,0,1,CML247
CML247/B73 NIL-1040,CML247,3,0,0,1,CML247
CML247/B73 NIL-1050,CML247,2,0,0,1,CML247
CML247/B73 NIL-1059A,CML247,2,0,0,1,CML247
CML247/B73 NIL-1063,CML247,1,0,0,1,CML247
CML247/B73 NIL-1065,CML247,3,0,0,1,CML247
CML247/B73 NIL-1070,CML247,2,0,0,1,CML247
CML247/B73 NIL-1072,CML247,2,0,1,1,CML247
CML247/B73 NIL-1075,CML247,2,0,1,1,CML247
CML247/B73 NIL-1082,CML247,1,0,0,1,CML247
CML247/B73 NIL-1090,CML247,2,0,0,1,CML247
CML247/B73 NIL-1104,CML247,3,0,0,1,CML247
CML247/B73 NIL-1105,CML247,2,0,0,1,CML247
CML247/B73 NIL-1106,CML247,1,0,0,1,CML247
CML247/B73 NIL-1107,CML247,2,0,0,1,CML247
CML247/B73 NIL-1110,CML247,2,0,0,1,CML247
CML247/B73 NIL-1125,CML247,1,0,0,1,CML247
CML247/B73 NIL-1128,CML247,2,0,0,1,CML247
CML247/B73 NIL-1130,CML247,2,0,0,1,CML247
CML247/B73 NIL-1131,CML247,1,0,0,1,CML247
CML247/B73 NIL-1139,CML247,1,1,0,1,CML277
CML247/B73 NIL-1164,CML247,2,0,0,1,CML247
CML247/B73 NIL-1179,CML247,1,0,0,1,CML247
CML247/B73 NIL-1180,CML247,1,0,0,1,CML247
CML247/B73 NIL-1181,CML247,1,0,0,1,CML247
CML247/B73 NIL-1186,CML247,4,3,1,1,CML277
CML247/B73 NIL-1190,CML247,2,2,0,1,CML277
CML247/B73 NIL-1194,CML247,4,0,0,1,CML247
CML247/B73 NIL-1201,CML247,1,0,0,1,CML247
CML247/B73 NIL-1206,CML247,4,4,0,1,CML277
CML247/B73 NIL-1218,CML247,2,0,0,1,CML247
CML247/B73 NIL-1241,CML247,2,0,0,1,CML247
CML247/B73 NIL-1246A,CML247,1,0,0,1,CML247
CML247/B73 NIL-1253,CML247,2,0,0,1,CML247
CML247/B73 NIL-1254,CML247,1,0,0,1,CML247
CML247/B73 NIL-1262,CML247,1,0,0,1,CML247
CML247/B73 NIL-1277,CML247,1,0,0,1,CML247
CML277/B73 NIL-1004,CML277,1,0,0,1,CML277
CML277/B73 NIL-1007,CML277,2,2,0,1,CML322
CML277/B73 NIL-1008,CML277,2,2,0,1,CML322
CML277/B73 NIL-1011,CML277,2,0,1,1,CML277
CML277/B73 NIL-1012A,CML277,2,0,0,1,CML277
CML277/B73 NIL-1012B,CML277,3,0,1,1,CML277
CML277/B73 NIL-1017,CML277,3,0,0,1,CML277
CML277/B73 NIL-1029,CML277,3,0,0,1,CML277
CML277/B73 NIL-1032,CML277,3,0,3,0,NA
CML277/B73 NIL-1035,CML277,2,0,0,1,CML277
CML277/B73 NIL-1041B,CML277,2,0,0,1,CML277
CML277/B73 NIL-1048,CML277,1,1,0,1,CML322
CML277/B73 NIL-1061,CML277,3,3,0,1,CML322
CML277/B73 NIL-1069,CML277,3,3,0,1,CML322
CML277/B73 NIL-1081,CML277,3,0,0,1,CML277
CML277/B73 NIL-1086,CML277,1,0,0,1,CML277
CML277/B73 NIL-1090,CML277,1,0,0,1,CML277
CML277/B73 NIL-1091,CML277,1,0,0,1,CML277
CML277/B73 NIL-1111B,CML277,3,0,0,1,CML277
CML277/B73 NIL-1116,CML277,1,1,0,1,CML322
CML277/B73 NIL-1122,CML277,1,1,0,1,CML322
CML277/B73 NIL-1124,CML277,2,0,0,1,CML277
CML277/B73 NIL-1132A,CML277,2,0,1,1,CML277
CML277/B73 NIL-1135,CML277,2,0,0,1,CML277
CML277/B73 NIL-1136,CML277,1,1,0,1,CML322
CML277/B73 NIL-1140,CML277,7,0,1,1,CML277
CML277/B73 NIL-1145,CML277,3,0,0,1,CML277
CML277/B73 NIL-1175,CML277,3,3,0,1,CML322
CML277/B73 NIL-1179,CML277,1,0,0,1,CML277
CML277/B73 NIL-1180,CML277,1,0,0,1,CML277
CML277/B73 NIL-1183,CML277,2,0,0,1,CML277
CML277/B73 NIL-1234A,CML277,1,0,0,1,CML277
CML277/B73 NIL-1234B,CML277,1,0,0,1,CML277
CML277/B73 NIL-1235A,CML277,1,0,0,1,CML277
CML277/B73 NIL-1235B,CML277,1,0,0,1,CML277
CML277/B73 NIL-1263,CML277,1,0,0,1,CML277
CML277/B73 NIL-1280,CML277,3,0,0,1,CML277
CML277/B73 NIL-1281,CML277,2,0,0,1,CML277
CML277/B73 NIL-1282,CML277,4,0,0,1,CML277
CML277/B73 NIL-1283,CML277,4,0,0,1,CML277
CML277/B73 NIL-1296,CML277,2,0,0,1,CML277
CML277/B73 NIL-1314,CML277,1,0,0,1,CML277
CML322/B73 NIL-1003,CML322,2,0,0,1,CML322
CML322/B73 NIL-1004,CML322,1,0,0,1,CML322
CML322/B73 NIL-1016,CML322,3,0,0,1,CML322
CML322/B73 NIL-1018A,CML322,2,0,0,1,CML322
CML322/B73 NIL-1021,CML322,2,0,0,1,CML322
CML322/B73 NIL-1030B,CML322,3,0,0,1,CML322
CML322/B73 NIL-1037,CML322,1,0,0,1,CML322
CML322/B73 NIL-1048,CML322,2,0,0,1,CML322
CML322/B73 NIL-1051,CML322,5,0,0,1,CML322
CML322/B73 NIL-1053A,CML322,3,0,0,1,CML322
CML322/B73 NIL-1060,CML322,2,0,0,1,CML322
CML322/B73 NIL-1061,CML322,1,0,0,1,CML322
CML322/B73 NIL-1069,CML322,2,0,0,1,CML322
CML322/B73 NIL-1074,CML322,2,0,0,1,CML322
CML322/B73 NIL-1076,CML322,1,0,0,1,CML322
CML322/B73 NIL-1083,CML322,4,0,0,1,CML322
CML322/B73 NIL-1094,CML322,1,0,0,1,CML322
CML322/B73 NIL-1097,CML322,2,2,0,1,CML333
CML322/B73 NIL-1098,CML322,1,0,0,1,CML322
CML322/B73 NIL-1101,CML322,2,0,0,1,CML322
CML322/B73 NIL-1103,CML322,3,0,0,1,CML322
